OF,P,t,gam,rho,mw
2,1378.9,1592.6,1.2612,2.0566,16.766
2,1447.9,1593.3,1.2609,2.159,16.771
2,1516.8,1594,1.2606,2.2615,16.776
2,1585.8,1594.6,1.2602,2.3638,16.781
2,1654.7,1595.3,1.2599,2.4662,16.786
2,1723.7,1596,1.2596,2.5685,16.791
2,1792.6,1596.6,1.2593,2.6708,16.795
2,1861.6,1597.3,1.259,2.7731,16.8
2,1930.5,1597.9,1.2587,2.8754,16.805
2,1999.5,1598.5,1.2585,2.9776,16.809
2,2068.4,1599.2,1.2582,3.0798,16.814
2,2137.4,1599.8,1.2579,3.1819,16.818
2,2206.3,1600.4,1.2576,3.2841,16.823
2,2275.3,1601,1.2574,3.3862,16.827
2,2344.2,1601.6,1.2571,3.4883,16.832
2,2413.2,1602.2,1.2568,3.5903,16.836
2,2482.1,1602.8,1.2566,3.6924,16.841
2,2551.1,1603.4,1.2563,3.7944,16.845
2,2620,1604,1.2561,3.8964,16.849
2,2688.9,1604.6,1.2558,3.9983,16.854
2,2757.9,1605.2,1.2556,4.1003,16.858
2.25,1378.9,1705.9,1.2669,1.9309,17.574
2.25,1447.9,1706.3,1.2668,2.0273,17.577
2.25,1516.8,1706.7,1.2666,2.1237,17.581
2.25,1585.8,1707.1,1.2664,2.22,17.584
2.25,1654.7,1707.5,1.2663,2.3164,17.587
2.25,1723.7,1707.8,1.2661,2.4127,17.59
2.25,1792.6,1708.2,1.2659,2.509,17.593
2.25,1861.6,1708.6,1.2658,2.6053,17.596
2.25,1930.5,1709,1.2656,2.7016,17.599
2.25,1999.5,1709.3,1.2655,2.7979,17.602
2.25,2068.4,1709.7,1.2653,2.8941,17.605
2.25,2137.4,1710.1,1.2652,2.9904,17.608
2.25,2206.3,1710.5,1.265,3.0866,17.611
2.25,2275.3,1710.8,1.2648,3.1828,17.615
2.25,2344.2,1711.2,1.2647,3.279,17.618
2.25,2413.2,1711.5,1.2645,3.3752,17.621
2.25,2482.1,1711.9,1.2644,3.4714,17.623
2.25,2551.1,1712.3,1.2642,3.5675,17.626
2.25,2620,1712.6,1.2641,3.6637,17.629
2.25,2688.9,1713,1.2639,3.7598,17.632
2.25,2757.9,1713.3,1.2638,3.856,17.635
2.5,1378.9,1810.4,1.2685,1.8304,18.359
2.5,1447.9,1810.6,1.2684,1.9218,18.362
2.5,1516.8,1810.9,1.2683,2.0132,18.364
2.5,1585.8,1811.1,1.2683,2.1046,18.366
2.5,1654.7,1811.3,1.2682,2.1961,18.368
2.5,1723.7,1811.6,1.2681,2.2875,18.37
2.5,1792.6,1811.8,1.268,2.3789,18.372
2.5,1861.6,1812.1,1.2679,2.4703,18.375
2.5,1930.5,1812.3,1.2678,2.5616,18.377
2.5,1999.5,1812.5,1.2678,2.653,18.379
2.5,2068.4,1812.8,1.2677,2.7444,18.381
2.5,2137.4,1813,1.2676,2.8358,18.383
2.5,2206.3,1813.2,1.2675,2.9271,18.385
2.5,2275.3,1813.4,1.2674,3.0185,18.387
2.5,2344.2,1813.7,1.2673,3.1098,18.39
2.5,2413.2,1813.9,1.2672,3.2012,18.392
2.5,2482.1,1814.1,1.2672,3.2925,18.394
2.5,2551.1,1814.4,1.2671,3.3838,18.396
2.5,2620,1814.6,1.267,3.4751,18.398
2.5,2688.9,1814.8,1.2669,3.5665,18.4
2.5,2757.9,1815,1.2668,3.6578,18.402
2.75,1378.9,1905.3,1.2677,1.7489,19.117
2.75,1447.9,1905.5,1.2677,1.8363,19.119
2.75,1516.8,1905.7,1.2677,1.9237,19.121
2.75,1585.8,1905.8,1.2676,2.0111,19.122
2.75,1654.7,1906,1.2676,2.0985,19.124
2.75,1723.7,1906.2,1.2675,2.1858,19.125
2.75,1792.6,1906.3,1.2675,2.2732,19.127
2.75,1861.6,1906.5,1.2675,2.3606,19.129
2.75,1930.5,1906.6,1.2674,2.448,19.13
2.75,1999.5,1906.8,1.2674,2.5353,19.132
2.75,2068.4,1907,1.2673,2.6227,19.133
2.75,2137.4,1907.1,1.2673,2.71,19.135
2.75,2206.3,1907.3,1.2673,2.7974,19.137
2.75,2275.3,1907.4,1.2672,2.8847,19.138
2.75,2344.2,1907.6,1.2672,2.9721,19.14
2.75,2413.2,1907.8,1.2671,3.0594,19.141
