 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)  
 0.00000000000000E+0000  4.16162241946710E-0001  3.96165051188781E-0001 
 3.00000000000000E-0002  3.89213345416330E-0001  3.68758744082371E-0001 
 6.00000000000000E-0002  3.61966675668439E-0001  3.40906195185754E-0001 
 9.00000000000000E-0002  3.46382412876155E-0001  3.24914482650060E-0001 
 1.20000000000000E-0001  3.35542809331682E-0001  3.13764149203057E-0001 
 1.50000000000000E-0001  3.27251647065453E-0001  3.05219230958575E-0001 
 1.80000000000000E-0001  3.20534853253081E-0001  2.98286000731999E-0001 
 2.10000000000000E-0001  3.14877712251451E-0001  2.92438558010048E-0001 
 2.40000000000000E-0001  3.09976602772435E-0001  2.87366301195892E-0001 
 2.70000000000000E-0001  3.05881587710435E-0001  2.83114643286043E-0001 
 3.00000000000000E-0001  3.02328831904807E-0001  2.79416497614946E-0001 
 3.30000000000000E-0001  2.99104951111666E-0001  2.76056119475394E-0001 
 3.60000000000000E-0001  2.96145332593537E-0001  2.72967130757916E-0001 
 3.90000000000000E-0001  2.93401771551850E-0001  2.70099974047689E-0001 
 4.20000000000000E-0001  2.90837496015103E-0001  2.67416820080151E-0001 
 4.50000000000000E-0001  2.88423929243408E-0001  2.64888251683802E-0001 
 4.80000000000000E-0001  2.86138510684424E-0001  2.62491030666065E-0001 
 5.10000000000000E-0001  2.83963186683458E-0001  2.60206550265756E-0001 
 5.40000000000000E-0001  2.81883338886543E-0001  2.58019735862902E-0001 
 5.70000000000000E-0001  2.79887006814112E-0001  2.55918247104079E-0001 
 6.00000000000000E-0001  2.77964313061917E-0001  2.53891887738521E-0001 
 6.30000000000000E-0001  2.75375373558234E-0001  2.51200504150247E-0001 
 6.60000000000000E-0001  2.72887130242955E-0001  2.48610808965290E-0001 
 6.90000000000000E-0001  2.70788150978559E-0001  2.46411173856303E-0001 
 7.20000000000000E-0001  2.68724302953781E-0001  2.44247297317089E-0001 
 7.50000000000000E-0001  2.66693052083927E-0001  2.42116499558668E-0001 
 7.80000000000000E-0001  2.65263021687810E-0001  2.40621649399360E-0001 
 8.10000000000000E-0001  2.64191892197065E-0001  2.39502808036928E-0001 
 8.40000000000000E-0001  2.63099530299557E-0001  2.38361274105496E-0001 
 8.70000000000000E-0001  2.62368044048298E-0001  2.37086349112096E-0001 
 9.00000000000000E-0001  2.63497464224745E-0001  2.35362715892303E-0001 
 9.30000000000000E-0001  2.66607366664040E-0001  2.33174090595723E-0001 
 9.60000000000000E-0001  2.71706963204040E-0001  2.30529685060213E-0001 
 9.90000000000000E-0001  2.79639690845702E-0001  2.28272936286731E-0001 
 1.02000000000000E+0000  4.09518445694525E-0001  3.45516740380775E-0001 
 1.05000000000000E+0000  4.84549430550524E-0001  4.05467300142361E-0001 
 1.08000000000000E+0000  4.83267677046153E-0001  4.08480330107377E-0001 
 1.11000000000000E+0000  4.81840796033372E-0001  4.09639499494596E-0001 
 1.14000000000000E+0000  4.80287625053535E-0001  4.09492193412719E-0001 
 1.17000000000000E+0000  4.80419241675668E-0001  4.10735273512402E-0001 
 1.20000000000000E+0000  4.81875491420882E-0001  4.13115157284147E-0001 
 1.23000000000000E+0000  4.81603226839507E-0001  4.13401739437466E-0001 
 1.26000000000000E+0000  4.80824693334154E-0001  4.13182052666807E-0001 
 1.29000000000000E+0000  4.79737036879948E-0001  4.12653242947295E-0001 
 1.32000000000000E+0000  4.78409508724764E-0001  4.11806916479866E-0001 
 1.35000000000000E+0000  4.76881615878725E-0001  4.10720543429746E-0001 
 1.38000000000000E+0000  4.75181447748325E-0001  4.09443026727916E-0001 
 1.41000000000000E+0000  4.73331445903728E-0001  4.08289782230259E-0001 
 1.44000000000000E+0000  4.71291900703889E-0001  4.06946994377358E-0001 
 1.47000000000000E+0000  4.69005044523408E-0001  4.05356895543817E-0001 
 1.50000000000000E+0000  4.66622758969925E-0001  4.03826237068482E-0001 
 1.53000000000000E+0000  4.64156428271958E-0001  4.02104971836377E-0001 
 1.56000000000000E+0000  4.61616845009894E-0001  4.00317969073645E-0001 
 1.59000000000000E+0000  4.59014209805957E-0001  3.98473195828419E-0001 
 1.62000000000000E+0000  4.56358135713604E-0001  3.96578277806040E-0001 
 1.65000000000000E+0000  4.53657655756719E-0001  3.94640482582644E-0001 
 1.68000000000000E+0000  4.50921232580642E-0001  3.92666707245588E-0001 
 1.71000000000000E+0000  4.48156769507707E-0001  3.90663469549380E-0001 
 1.74000000000000E+0000  4.45371622507984E-0001  3.88636901907188E-0001 
 1.77000000000000E+0000  4.42572612742315E-0001  3.86592747698306E-0001 
 1.80000000000000E+0000  4.39766039434762E-0001  3.84536359485683E-0001 
 1.83000000000000E+0000  4.36957692900822E-0001  3.82472698820307E-0001 
 1.86000000000000E+0000  4.34152867606470E-0001  3.80406337370733E-0001 
 1.89000000000000E+0000  4.31356375167674E-0001  3.78341459162728E-0001 
 1.92000000000000E+0000  4.28572557224932E-0001  3.76281863750207E-0001 
 1.95000000000000E+0000  4.25805298145452E-0001  3.74230970167234E-0001 
 1.98000000000000E+0000  4.23058037518871E-0001  3.72191821533775E-0001 
 2.01000000000000E+0000  4.19999418883437E-0001  3.69832726667823E-0001 
 2.04000000000000E+0000  4.17427235346971E-0001  3.67951199292043E-0001 
 2.07000000000000E+0000  4.14875272672872E-0001  3.66080795336386E-0001 
 2.10000000000000E+0000  4.12342735735743E-0001  3.64220534179206E-0001 
 2.13000000000000E+0000  4.09828879994415E-0001  3.62369525418691E-0001 
 2.16000000000000E+0000  4.07333009535843E-0001  3.60526962677632E-0001 
 2.19000000000000E+0000  4.04854475227659E-0001  3.58692117933858E-0001 
 2.22000000000000E+0000  4.02392672969473E-0001  3.56864336325493E-0001 
 2.25000000000000E+0000  3.99947042034468E-0001  3.55043031385680E-0001 
 2.28000000000000E+0000  3.97517063493934E-0001  3.53227680666190E-0001 
 2.31000000000000E+0000  3.95102258718345E-0001  3.51417821713606E-0001 
 2.34000000000000E+0000  3.92702187949342E-0001  3.49613048365481E-0001 
 2.37000000000000E+0000  3.90316448937646E-0001  3.47813007337200E-0001 
 2.40000000000000E+0000  3.87944675642441E-0001  3.46017395073228E-0001 
 2.43000000000000E+0000  3.85586536988259E-0001  3.44225954839033E-0001 
 2.46000000000000E+0000  3.83241735675763E-0001  3.42438474032331E-0001 
 2.49000000000000E+0000  3.80910007043175E-0001  3.40654781694365E-0001 
 2.52000000000000E+0000  3.78591117975385E-0001  3.38874746203819E-0001 
 2.55000000000000E+0000  3.76284865858042E-0001  3.37098273137624E-0001 
 2.58000000000000E+0000  3.73991077574119E-0001  3.35325303284416E-0001 
 2.61000000000000E+0000  3.71709608540690E-0001  3.33555810797759E-0001 
 2.64000000000000E+0000  3.69440341783789E-0001  3.31789801477427E-0001 
 2.67000000000000E+0000  3.67183187049396E-0001  3.30027311168165E-0001 
 2.70000000000000E+0000  3.64938079948741E-0001  3.28268404266290E-0001 
 2.73000000000000E+0000  3.62731492355458E-0001  3.26539683544629E-0001 
 2.76000000000000E+0000  3.60653318748824E-0001  3.24931175983629E-0001 
 2.79000000000000E+0000  3.58652300347753E-0001  3.23391756447592E-0001 
 2.82000000000000E+0000  3.56678133155937E-0001  3.21871255321160E-0001 
 2.85000000000000E+0000  3.54712707937441E-0001  3.20351698120703E-0001 
 2.88000000000000E+0000  3.52756127861981E-0001  3.18833322815527E-0001 
 2.91000000000000E+0000  3.50808518434810E-0001  3.17316389470011E-0001 
 2.94000000000000E+0000  3.48870026663627E-0001  3.15801179155572E-0001 
 2.97000000000000E+0000  3.46940820265891E-0001  3.14287992932685E-0001 
 3.00000000000000E+0000  3.45021086914141E-0001  3.12777150897707E-0001 
