 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)  
 0.00000000000000E+0000  6.50224631607521E-0001  6.33819528157780E-0001 
 3.00000000000000E-0002  4.88466084411662E-0001  4.68966768485285E-0001 
 6.00000000000000E-0002  3.72969811087533E-0001  3.49789515513527E-0001 
 9.00000000000000E-0002  3.21482201268748E-0001  2.95834952370636E-0001 
 1.20000000000000E-0001  4.33771773062627E-0001  4.13996630957459E-0001 
 1.50000000000000E-0001  4.25472955220879E-0001  4.05608755486281E-0001 
 1.80000000000000E-0001  4.18413859797735E-0001  3.98457406993101E-0001 
 2.10000000000000E-0001  4.12248768734393E-0001  3.92200738649504E-0001 
 2.40000000000000E-0001  4.06752943085792E-0001  3.86615233846723E-0001 
 2.70000000000000E-0001  4.02175818476553E-0001  3.81950593671447E-0001 
 3.00000000000000E-0001  3.98183695608877E-0001  3.77873023098094E-0001 
 3.30000000000000E-0001  3.94495670619993E-0001  3.74101392703064E-0001 
 3.60000000000000E-0001  3.91056083634148E-0001  3.70579782058531E-0001 
 3.90000000000000E-0001  3.87822273817606E-0001  3.67265274096408E-0001 
 4.20000000000000E-0001  3.84760969713480E-0001  3.64124360913400E-0001 
 4.50000000000000E-0001  3.81845835924133E-0001  3.61130495396811E-0001 
 4.80000000000000E-0001  3.79055760606383E-0001  3.58262379019396E-0001 
 5.10000000000000E-0001  3.76373631824983E-0001  3.55502736537612E-0001 
 5.40000000000000E-0001  3.73785445043526E-0001  3.52837421121380E-0001 
 5.70000000000000E-0001  3.71279640181792E-0001  3.50254748921130E-0001 
 6.00000000000000E-0001  3.68846601155647E-0001  3.47744996244016E-0001 
 6.30000000000000E-0001  3.65304878393199E-0001  3.44126619934019E-0001 
 6.60000000000000E-0001  3.61850469474497E-0001  3.40595536130149E-0001 
 6.90000000000000E-0001  3.58475934336197E-0001  3.37144233836893E-0001 
 7.20000000000000E-0001  3.55174906599866E-0001  3.33766284843823E-0001 
 7.50000000000000E-0001  3.51941904670511E-0001  3.30456153614501E-0001 
 7.80000000000000E-0001  3.48818434887703E-0001  3.27255299400471E-0001 
 8.10000000000000E-0001  3.45837056155424E-0001  3.24196239981978E-0001 
 8.40000000000000E-0001  3.42871281850688E-0001  3.21152452813669E-0001 
 8.70000000000000E-0001  3.40294333095978E-0001  3.18001871045248E-0001 
 9.00000000000000E-0001  3.39706325855102E-0001  3.14402290482386E-0001 
 9.30000000000000E-0001  3.41232529761118E-0001  3.10335572504716E-0001 
 9.60000000000000E-0001  3.44882452444284E-0001  3.05811224742493E-0001 
 9.90000000000000E-0001  3.51500346112241E-0001  3.01673499403361E-0001 
 1.02000000000000E+0000  4.80585980287337E-0001  4.17422166009666E-0001 
 1.05000000000000E+0000  5.55142930897236E-0001  4.76060800489073E-0001 
 1.08000000000000E+0000  5.52737126259222E-0001  4.77949779320447E-0001 
 1.11000000000000E+0000  5.50205156578697E-0001  4.78003860039921E-0001 
 1.14000000000000E+0000  5.47567839042562E-0001  4.76772407401745E-0001 
 1.17000000000000E+0000  5.46638424518622E-0001  4.76954456355357E-0001 
 1.20000000000000E+0000  5.47059061513361E-0001  4.78298727376626E-0001 
 1.23000000000000E+0000  5.46236357372511E-0001  4.78034869970470E-0001 
 1.26000000000000E+0000  5.44925583306807E-0001  4.77282942639460E-0001 
 1.29000000000000E+0000  5.43322858480947E-0001  4.76239064548294E-0001 
 1.32000000000000E+0000  5.41496479664024E-0001  4.74893887419126E-0001 
 1.35000000000000E+0000  5.39485065358676E-0001  4.73323992909696E-0001 
 1.38000000000000E+0000  5.37315876764285E-0001  4.71577455743877E-0001 
 1.41000000000000E+0000  5.35010582474598E-0001  4.69968918801129E-0001 
 1.44000000000000E+0000  5.32528750559029E-0001  4.68183844232498E-0001 
 1.47000000000000E+0000  5.29811937707042E-0001  4.66163788727450E-0001 
 1.50000000000000E+0000  5.27011392768869E-0001  4.64214870867425E-0001 
 1.53000000000000E+0000  5.24137906824634E-0001  4.62086450389053E-0001 
 1.56000000000000E+0000  5.21201715913148E-0001  4.59902839976899E-0001 
 1.59000000000000E+0000  5.18212498000297E-0001  4.57671484022759E-0001 
 1.62000000000000E+0000  5.15179374896220E-0001  4.55399516988655E-0001 
 1.65000000000000E+0000  5.12110917544381E-0001  4.53093744370305E-0001 
 1.68000000000000E+0000  5.09015153620749E-0001  4.50760628285696E-0001 
 1.71000000000000E+0000  5.05899576714862E-0001  4.48406276756535E-0001 
 1.74000000000000E+0000  5.02771156585085E-0001  4.46036435984289E-0001 
 1.77000000000000E+0000  4.99636350129025E-0001  4.43656485085016E-0001 
 1.80000000000000E+0000  4.96501112811904E-0001  4.41271432862824E-0001 
 1.83000000000000E+0000  4.93370910366634E-0001  4.38885916286118E-0001 
 1.86000000000000E+0000  4.90250730629459E-0001  4.36504200393722E-0001 
 1.89000000000000E+0000  4.87145095410858E-0001  4.34130179405912E-0001 
 1.92000000000000E+0000  4.84058072327409E-0001  4.31767378852685E-0001 
 1.95000000000000E+0000  4.80993286539345E-0001  4.29418958561128E-0001 
 1.98000000000000E+0000  4.77953932352633E-0001  4.27087716367537E-0001 
 2.01000000000000E+0000  4.74608421116208E-0001  4.24441728900593E-0001 
 2.04000000000000E+0000  4.71754326073003E-0001  4.22278290018075E-0001 
 2.07000000000000E+0000  4.68925224729962E-0001  4.20130747393476E-0001 
 2.10000000000000E+0000  4.66120124647039E-0001  4.17997923090503E-0001 
 2.13000000000000E+0000  4.63338094288845E-0001  4.15878739713121E-0001 
 2.16000000000000E+0000  4.60578260488690E-0001  4.13772213630479E-0001 
 2.19000000000000E+0000  4.57839806059453E-0001  4.11677448765651E-0001 
 2.22000000000000E+0000  4.55121967538324E-0001  4.09593630894344E-0001 
 2.25000000000000E+0000  4.52424033054204E-0001  4.07520022405416E-0001 
 2.28000000000000E+0000  4.49745340307908E-0001  4.05455957480165E-0001 
 2.31000000000000E+0000  4.47085274656499E-0001  4.03400837651761E-0001 
 2.34000000000000E+0000  4.44443267294034E-0001  4.01354127710174E-0001 
 2.37000000000000E+0000  4.41818793521874E-0001  3.99315351921429E-0001 
 2.40000000000000E+0000  4.39211371102357E-0001  3.97284090533144E-0001 
 2.43000000000000E+0000  4.36620558690299E-0001  3.95259976541073E-0001 
 2.46000000000000E+0000  4.34045954337276E-0001  3.93242692693844E-0001 
 2.49000000000000E+0000  4.31487194064111E-0001  3.91231968715301E-0001 
 2.52000000000000E+0000  4.28943950497392E-0001  3.89227578725826E-0001 
 2.55000000000000E+0000  4.26415931566202E-0001  3.87229338845784E-0001 
 2.58000000000000E+0000  4.23902879255548E-0001  3.85237104965845E-0001 
 2.61000000000000E+0000  4.21404568413258E-0001  3.83250770670327E-0001 
 2.64000000000000E+0000  4.18920805607374E-0001  3.81270265301011E-0001 
 2.67000000000000E+0000  4.16451428031269E-0001  3.79295552150038E-0001 
 2.70000000000000E+0000  4.13996302453948E-0001  3.77326626771498E-0001 
 2.73000000000000E+0000  4.11555324213140E-0001  3.75363515402311E-0001 
 2.76000000000000E+0000  4.09128416248987E-0001  3.73406273483792E-0001 
 2.79000000000000E+0000  4.06781610476099E-0001  3.71521066575937E-0001 
 2.82000000000000E+0000  4.04464588385207E-0001  3.69657710550430E-0001 
 2.85000000000000E+0000  4.02159226284940E-0001  3.67798216468202E-0001 
 2.88000000000000E+0000  3.99865612931092E-0001  3.65942807884638E-0001 
 2.91000000000000E+0000  3.97583859441901E-0001  3.64091730477102E-0001 
 2.94000000000000E+0000  3.95314098451647E-0001  3.62245250943592E-0001 
 2.97000000000000E+0000  3.93056483305851E-0001  3.60403655972645E-0001 
 3.00000000000000E+0000  3.90811187295580E-0001  3.58567251279146E-0001 
