 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)  
 0.00000000000000E+0000  4.91742101450007E-0001  4.73831703178982E-0001 
 3.00000000000000E-0002  4.59669325884525E-0001  4.41305912064020E-0001 
 6.00000000000000E-0002  4.27232812225930E-0001  4.08295464519860E-0001 
 9.00000000000000E-0002  4.08671948157628E-0001  3.89355268420846E-0001 
 1.20000000000000E-0001  3.95756206175087E-0001  3.76152361308864E-0001 
 1.50000000000000E-0001  3.85872515156326E-0001  3.66035183217346E-0001 
 1.80000000000000E-0001  3.77861772655840E-0001  3.57825893907605E-0001 
 2.10000000000000E-0001  3.71111391572849E-0001  3.50901337073947E-0001 
 2.40000000000000E-0001  3.65259951762218E-0001  3.44893534880534E-0001 
 2.70000000000000E-0001  3.60320682436575E-0001  3.39811366390067E-0001 
 3.00000000000000E-0001  3.56004927000889E-0001  3.35363142694430E-0001 
 3.30000000000000E-0001  3.52081844668224E-0001  3.31315827105721E-0001 
 3.60000000000000E-0001  3.48474125265879E-0001  3.27590470417561E-0001 
 3.90000000000000E-0001  3.45124073686132E-0001  3.24128123752285E-0001 
 4.20000000000000E-0001  3.41987664364866E-0001  3.20883782846762E-0001 
 4.50000000000000E-0001  3.39030672114765E-0001  3.17822445443596E-0001 
 4.80000000000000E-0001  3.36226067990813E-0001  3.14916456652568E-0001 
 5.10000000000000E-0001  3.33552215586960E-0001  3.12143669577868E-0001 
 5.40000000000000E-0001  3.30991590446680E-0001  3.09486138949902E-0001 
 5.70000000000000E-0001  3.28529851066317E-0001  3.06929173120599E-0001 
 6.00000000000000E-0001  3.26155152081794E-0001  3.04460632985279E-0001 
 6.30000000000000E-0001  3.23125970354115E-0001  3.01338747194578E-0001 
 6.60000000000000E-0001  3.20207873453172E-0001  2.98328872233629E-0001 
 6.90000000000000E-0001  3.17688269953660E-0001  2.95718236140215E-0001 
 7.20000000000000E-0001  3.15212044030498E-0001  2.93151567894051E-0001 
 7.50000000000000E-0001  3.12775824173252E-0001  2.90625361968533E-0001 
 7.80000000000000E-0001  3.10745384467142E-0001  2.88520421425011E-0001 
 8.10000000000000E-0001  3.09484046057965E-0001  2.87216038245679E-0001 
 8.40000000000000E-0001  3.08152577502529E-0001  2.85840207903762E-0001 
 8.70000000000000E-0001  3.07145136369747E-0001  2.84265069162886E-0001 
 9.00000000000000E-0001  3.08023065880382E-0001  2.82162586231028E-0001 
 9.30000000000000E-0001  3.10913876134277E-0001  2.79518344806007E-0001 
 9.60000000000000E-0001  3.15830581028252E-0001  2.76345358784642E-0001 
 9.90000000000000E-0001  3.23621057628911E-0001  2.73491505233540E-0001 
 1.02000000000000E+0000  4.53332840824712E-0001  3.90004319041156E-0001 
 1.05000000000000E+0000  5.28215344939669E-0001  4.49133214531506E-0001 
 1.08000000000000E+0000  5.26222357910967E-0001  4.51435010972192E-0001 
 1.11000000000000E+0000  5.24063970028200E-0001  4.51862673489425E-0001 
 1.14000000000000E+0000  5.21765576718994E-0001  4.50970145078177E-0001 
 1.17000000000000E+0000  5.21144890784493E-0001  4.51460922621227E-0001 
 1.20000000000000E+0000  5.21848376202545E-0001  4.53088042065810E-0001 
 1.23000000000000E+0000  5.21276542929267E-0001  4.53075055527226E-0001 
 1.26000000000000E+0000  5.20197900822442E-0001  4.52555260155095E-0001 
 1.29000000000000E+0000  5.18809727944033E-0001  4.51725934011380E-0001 
 1.32000000000000E+0000  5.17181402288596E-0001  4.50578810043698E-0001 
 1.35000000000000E+0000  5.15352552451402E-0001  4.49191480002422E-0001 
 1.38000000000000E+0000  5.13351384435432E-0001  4.47612963415024E-0001 
 1.41000000000000E+0000  5.11200451586000E-0001  4.46158787912530E-0001 
 1.44000000000000E+0000  5.08860151377786E-0001  4.44515245051255E-0001 
 1.47000000000000E+0000  5.06272818798418E-0001  4.42624669818826E-0001 
 1.50000000000000E+0000  5.03590433717516E-0001  4.40793911816072E-0001 
 1.53000000000000E+0000  5.00824474421317E-0001  4.38773017985736E-0001 
 1.56000000000000E+0000  4.97985823485710E-0001  4.36686947549461E-0001 
 1.59000000000000E+0000  4.95084767603660E-0001  4.34543753626122E-0001 
 1.62000000000000E+0000  4.92131002107645E-0001  4.32351144200081E-0001 
 1.65000000000000E+0000  4.89133638637578E-0001  4.30116465463502E-0001 
 1.68000000000000E+0000  4.86101214916418E-0001  4.27846689581365E-0001 
 1.71000000000000E+0000  4.83041705926272E-0001  4.25548405967945E-0001 
 1.74000000000000E+0000  4.79962535995786E-0001  4.23227815394990E-0001 
 1.77000000000000E+0000  4.76870591456082E-0001  4.20890726412073E-0001 
 1.80000000000000E+0000  4.73772233622441E-0001  4.18542553673361E-0001 
 1.83000000000000E+0000  4.70673311928225E-0001  4.16188317847710E-0001 
 1.86000000000000E+0000  4.67579177086209E-0001  4.13832646850472E-0001 
 1.89000000000000E+0000  4.64494694187063E-0001  4.11479778182117E-0001 
 1.92000000000000E+0000  4.61424255669662E-0001  4.09133562194937E-0001 
 1.95000000000000E+0000  4.58371794115928E-0001  4.06797466137711E-0001 
 1.98000000000000E+0000  4.55340794836208E-0001  4.04474578851111E-0001 
 2.01000000000000E+0000  4.51999944682204E-0001  4.01833252466590E-0001 
 2.04000000000000E+0000  4.49147077751881E-0001  3.99671041696953E-0001 
 2.07000000000000E+0000  4.46316018556669E-0001  3.97521541220183E-0001 
 2.10000000000000E+0000  4.43506008555672E-0001  3.95383806999135E-0001 
 2.13000000000000E+0000  4.40716337704703E-0001  3.93256983128980E-0001 
 2.16000000000000E+0000  4.37946342573731E-0001  3.91140295715520E-0001 
 2.19000000000000E+0000  4.35195404570582E-0001  3.89033047276781E-0001 
 2.22000000000000E+0000  4.32462948261082E-0001  3.86934611617103E-0001 
 2.25000000000000E+0000  4.29748439777241E-0001  3.84844429128453E-0001 
 2.28000000000000E+0000  4.27051385306214E-0001  3.82762002478470E-0001 
 2.31000000000000E+0000  4.24371329653697E-0001  3.80686892648958E-0001 
 2.34000000000000E+0000  4.21707854876201E-0001  3.78618715292341E-0001 
 2.37000000000000E+0000  4.19060578977285E-0001  3.76557137376839E-0001 
 2.40000000000000E+0000  4.16429154663350E-0001  3.74501874094137E-0001 
 2.43000000000000E+0000  4.13813268155095E-0001  3.72452686005869E-0001 
 2.46000000000000E+0000  4.11212638051085E-0001  3.70409376407653E-0001 
 2.49000000000000E+0000  4.08627014240233E-0001  3.68371788891424E-0001 
 2.52000000000000E+0000  4.06056176860294E-0001  3.66339805088728E-0001 
 2.55000000000000E+0000  4.03499935299713E-0001  3.64313342579295E-0001 
 2.58000000000000E+0000  4.00958127240395E-0001  3.62292352950693E-0001 
 2.61000000000000E+0000  3.98430617739155E-0001  3.60276819996224E-0001 
 2.64000000000000E+0000  3.95917298345787E-0001  3.58266758039425E-0001 
 2.67000000000000E+0000  3.93418086255845E-0001  3.56262210374614E-0001 
 2.70000000000000E+0000  3.90991207952522E-0001  3.54321532270071E-0001 
 2.73000000000000E+0000  3.88695078458484E-0001  3.52503269647654E-0001 
 2.76000000000000E+0000  3.86411862320129E-0001  3.50689719554935E-0001 
 2.79000000000000E+0000  3.84207600035169E-0001  3.48947056135007E-0001 
 2.82000000000000E+0000  3.82031981384540E-0001  3.47225103549763E-0001 
 2.85000000000000E+0000  3.79866890694981E-0001  3.45505880878243E-0001 
 2.88000000000000E+0000  3.77712424487855E-0001  3.43789619441401E-0001 
 2.91000000000000E+0000  3.75568701412835E-0001  3.42076572448036E-0001 
 2.94000000000000E+0000  3.73435861418831E-0001  3.40367013910776E-0001 
 2.97000000000000E+0000  3.71314064965493E-0001  3.38661237632286E-0001 
 3.00000000000000E+0000  3.69203492272880E-0001  3.36959556256446E-0001 
