 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)  
 0.00000000000000E+0000  7.01281727434048E-0001  6.85956411078984E-0001 
 3.00000000000000E-0002  5.23757418677629E-0001  5.05541551510944E-0001 
 6.00000000000000E-0002  3.97022920572811E-0001  3.75368356551741E-0001 
 9.00000000000000E-0002  5.17155668781494E-0001  4.99702574269409E-0001 
 1.20000000000000E-0001  5.05302996509995E-0001  4.87754750240534E-0001 
 1.50000000000000E-0001  4.95562318208684E-0001  4.77915154630178E-0001 
 1.80000000000000E-0001  4.87275511103806E-0001  4.69531930887486E-0001 
 2.10000000000000E-0001  4.80036686418037E-0001  4.62200560254015E-0001 
 2.40000000000000E-0001  4.73581966911479E-0001  4.55657155396771E-0001 
 2.70000000000000E-0001  4.68128432936120E-0001  4.50118390418688E-0001 
 3.00000000000000E-0001  4.63326692006441E-0001  4.45234383214151E-0001 
 3.30000000000000E-0001  4.58884901566844E-0001  4.40712821448452E-0001 
 3.60000000000000E-0001  4.54737013008217E-0001  4.36487237718661E-0001 
 3.90000000000000E-0001  4.50832410103298E-0001  4.32506653278797E-0001 
 4.20000000000000E-0001  4.47131618467407E-0001  4.28731283731878E-0001 
 4.50000000000000E-0001  4.43603391714192E-0001  4.25129618728450E-0001 
 4.80000000000000E-0001  4.40222678803646E-0001  4.21676382590596E-0001 
 5.10000000000000E-0001  4.36969172464464E-0001  4.18351076607487E-0001 
 5.40000000000000E-0001  4.33826250980591E-0001  4.15136915532757E-0001 
 5.70000000000000E-0001  4.30780192541122E-0001  4.12020037479602E-0001 
 6.00000000000000E-0001  4.27819582413472E-0001  4.08988907383889E-0001 
 6.30000000000000E-0001  4.23778049776255E-0001  4.04877050760807E-0001 
 6.60000000000000E-0001  4.19833323675599E-0001  4.00862107112135E-0001 
 6.90000000000000E-0001  4.15976914748714E-0001  3.96935509534540E-0001 
 7.20000000000000E-0001  4.12201565409337E-0001  3.93089933144993E-0001 
 7.50000000000000E-0001  4.08501034468862E-0001  3.89319078232553E-0001 
 7.80000000000000E-0001  4.04916178925908E-0001  3.85663750816704E-0001 
 8.10000000000000E-0001  4.01474969309571E-0001  3.82151876954916E-0001 
 8.40000000000000E-0001  3.97998639801013E-0001  3.78604651989651E-0001 
 8.70000000000000E-0001  3.94857808256622E-0001  3.74878116565011E-0001 
 9.00000000000000E-0001  3.93663855621317E-0001  3.70609218558401E-0001 
 9.30000000000000E-0001  3.94547142459417E-0001  3.65781892564077E-0001 
 9.60000000000000E-0001  3.97521936297756E-0001  3.60410406108873E-0001 
 9.90000000000000E-0001  4.03501948728534E-0001  3.55408470784989E-0001 
 1.02000000000000E+0000  5.33186846962132E-0001  4.71475753802806E-0001 
 1.05000000000000E+0000  6.11819623921788E-0001  5.33855248085563E-0001 
 1.08000000000000E+0000  6.08285830116326E-0001  5.34555534859548E-0001 
 1.11000000000000E+0000  6.04622478436054E-0001  5.33441682089794E-0001 
 1.14000000000000E+0000  6.00856314671277E-0001  5.31061512590899E-0001 
 1.17000000000000E+0000  5.98781539413507E-0001  5.30082491277095E-0001 
 1.20000000000000E+0000  5.98052138499758E-0001  5.30263669656138E-0001 
 1.23000000000000E+0000  5.96689424590179E-0001  5.29451903686804E-0001 
 1.26000000000000E+0000  5.94856980206326E-0001  5.28170407243195E-0001 
 1.29000000000000E+0000  5.92747263699676E-0001  5.26611638676790E-0001 
 1.32000000000000E+0000  5.90426834305080E-0001  5.24765609618193E-0001 
 1.35000000000000E+0000  5.87933092656531E-0001  5.22707147281550E-0001 
 1.38000000000000E+0000  5.85292328838008E-0001  5.20483061094937E-0001 
 1.41000000000000E+0000  5.82525393701522E-0001  5.18403035268848E-0001 
 1.44000000000000E+0000  5.79591979461557E-0001  5.16156530339280E-0001 
 1.47000000000000E+0000  5.76434076953751E-0001  5.13685537141870E-0001 
 1.50000000000000E+0000  5.73200453288917E-0001  5.11291503574703E-0001 
 1.53000000000000E+0000  5.69901444507993E-0001  5.08727029431417E-0001 
 1.56000000000000E+0000  5.66546875323301E-0001  5.06114403699616E-0001 
 1.59000000000000E+0000  5.63146051289871E-0001  5.03460729929791E-0001 
 1.62000000000000E+0000  5.59707756495394E-0001  5.00772832950891E-0001 
 1.65000000000000E+0000  5.56240255122701E-0001  4.98057236451010E-0001 
 1.68000000000000E+0000  5.52751295760837E-0001  4.95320145588962E-0001 
 1.71000000000000E+0000  5.49248117681604E-0001  4.92567433652471E-0001 
 1.74000000000000E+0000  5.45737458525727E-0001  4.89804632019233E-0001 
 1.77000000000000E+0000  5.42225562997617E-0001  4.87036922845584E-0001 
 1.80000000000000E+0000  5.38718192275037E-0001  4.84269134028372E-0001 
 1.83000000000000E+0000  5.35220633915680E-0001  4.81505736074620E-0001 
 1.86000000000000E+0000  5.31737712096998E-0001  4.78750840580453E-0001 
 1.89000000000000E+0000  5.28273798065050E-0001  4.76008200072145E-0001 
 1.92000000000000E+0000  5.24832820697279E-0001  4.73281209002464E-0001 
 1.95000000000000E+0000  5.21418277105853E-0001  4.70572905727498E-0001 
