 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)  
 0.00000000000000E+0000  7.70579329219766E-0001  7.55879277964515E-0001 
 3.00000000000000E-0002  5.73337010510536E-0001  5.55864341443258E-0001 
 6.00000000000000E-0002  4.32548093372572E-0001  4.11777024528984E-0001 
 9.00000000000000E-0002  6.07872797458533E-0001  5.91823925101177E-0001 
 1.20000000000000E-0001  5.93733292997976E-0001  5.77577181241786E-0001 
 1.50000000000000E-0001  5.82141338649440E-0001  5.65880951018096E-0001 
 1.80000000000000E-0001  5.72294302987261E-0001  5.55935448454405E-0001 
 2.10000000000000E-0001  5.63701137116411E-0001  5.47249540064833E-0001 
 2.40000000000000E-0001  5.56044037715275E-0001  5.39504695561318E-0001 
 2.70000000000000E-0001  5.49512016038050E-0001  5.32889129569979E-0001 
 3.00000000000000E-0001  5.43725980358810E-0001  5.27023032199902E-0001 
 3.30000000000000E-0001  5.38371782577670E-0001  5.21591644188146E-0001 
 3.60000000000000E-0001  5.33369834834525E-0001  5.16514867521278E-0001 
 3.90000000000000E-0001  5.28659209361381E-0001  5.11731350744055E-0001 
 4.20000000000000E-0001  5.24192427319362E-0001  5.07193262815935E-0001 
 4.50000000000000E-0001  5.19931928137139E-0001  5.02862749353341E-0001 
 4.80000000000000E-0001  5.15847611361234E-0001  4.98709463670168E-0001 
 5.10000000000000E-0001  5.11915084081277E-0001  4.94708805478435E-0001 
 5.40000000000000E-0001  5.08114385076650E-0001  4.90840638047394E-0001 
 5.70000000000000E-0001  5.04429038744382E-0001  4.87088336539196E-0001 
 6.00000000000000E-0001  5.00845341998229E-0001  4.83438070419981E-0001 
 6.30000000000000E-0001  4.96188242113786E-0001  4.78714677686759E-0001 
 6.60000000000000E-0001  4.91640751171332E-0001  4.74101076377371E-0001 
 6.90000000000000E-0001  4.87193011833195E-0001  4.69587327956726E-0001 
 7.20000000000000E-0001  4.82836603735842E-0001  4.65164941748004E-0001 
 7.50000000000000E-0001  4.78564293255230E-0001  4.60826623080668E-0001 
 7.80000000000000E-0001  4.74416087246755E-0001  4.56612325688954E-0001 
 8.10000000000000E-0001  4.70413709957739E-0001  4.52543727505779E-0001 
 8.40000000000000E-0001  4.66306902854723E-0001  4.48370529552526E-0001 
 8.70000000000000E-0001  4.62474800926888E-0001  4.43926970053631E-0001 
 9.00000000000000E-0001  4.60613334445746E-0001  4.38855351324426E-0001 
 9.30000000000000E-0001  4.60864619163503E-0001  4.33144924724351E-0001 
 9.60000000000000E-0001  4.63249440763091E-0001  4.26816475936339E-0001 
 9.90000000000000E-0001  4.68625090122082E-0001  4.20727295837961E-0001 
 1.02000000000000E+0000  5.96505914766174E-0001  5.34391731954916E-0001 
 1.05000000000000E+0000  6.69911370182144E-0001  5.90829239773981E-0001 
 1.08000000000000E+0000  6.65452886996671E-0001  5.90665540057895E-0001 
 1.11000000000000E+0000  6.60820655185293E-0001  5.88619358646517E-0001 
 1.14000000000000E+0000  6.55962833865854E-0001  5.85167402225037E-0001 
 1.17000000000000E+0000  6.51389369702160E-0001  5.81705401538895E-0001 
 1.20000000000000E+0000  6.49391350321348E-0001  5.80631016184614E-0001 
 1.23000000000000E+0000  6.47766122074964E-0001  5.79564634672923E-0001 
 1.26000000000000E+0000  6.45606543030966E-0001  5.77963902363619E-0001 
 1.29000000000000E+0000  6.43162091039036E-0001  5.76078297106383E-0001 
 1.32000000000000E+0000  6.40503620744677E-0001  5.73901028499780E-0001 
 1.35000000000000E+0000  6.37669150426423E-0001  5.71508077977443E-0001 
 1.38000000000000E+0000  6.34685083853173E-0001  5.68946662832765E-0001 
 1.41000000000000E+0000  6.31572340494550E-0001  5.66530676821080E-0001 
 1.44000000000000E+0000  6.28274390639546E-0001  5.63929484313016E-0001 
 1.47000000000000E+0000  6.24792508516215E-0001  5.61144359536623E-0001 
 1.50000000000000E+0000  6.21232065647444E-0001  5.58435543746001E-0001 
 1.53000000000000E+0000  6.17603818726907E-0001  5.55552362291326E-0001 
 1.56000000000000E+0000  6.13917975136976E-0001  5.52619099200727E-0001 
 1.59000000000000E+0000  6.10184189148055E-0001  5.49643175170517E-0001 
 1.62000000000000E+0000  6.06411563154613E-0001  5.46631705247048E-0001 
 1.65000000000000E+0000  6.02608652360619E-0001  5.43591479186543E-0001 
 1.68000000000000E+0000  5.98783471843550E-0001  5.40528946508496E-0001 
 1.71000000000000E+0000  5.94943505260827E-0001  5.37450205302500E-0001 
 1.74000000000000E+0000  5.91095714684115E-0001  5.34360994083319E-0001 
 1.77000000000000E+0000  5.87246551196347E-0001  5.31266686152339E-0001 
 1.80000000000000E+0000  5.83401965988987E-0001  5.28172286039908E-0001 
 1.83000000000000E+0000  5.79567421768578E-0001  5.25082427688062E-0001 
 1.86000000000000E+0000  5.75747904332320E-0001  5.22001374096584E-0001 
 1.89000000000000E+0000  5.71947934208724E-0001  5.18933018203778E-0001 
 1.92000000000000E+0000  5.68171578285817E-0001  5.15880884811092E-0001 
 1.95000000000000E+0000  5.64422461368780E-0001  5.12848133390562E-0001 
 1.98000000000000E+0000  5.60703777623316E-0001  5.09837561638219E-0001 
 2.01000000000000E+0000  5.56683938333119E-0001  5.06517246117504E-0001 
 2.04000000000000E+0000  5.53160516628099E-0001  5.03684480573171E-0001 
 2.07000000000000E+0000  5.49667089746753E-0001  5.00872612410266E-0001 
 2.10000000000000E+0000  5.46202664731099E-0001  4.98080463174562E-0001 
 2.13000000000000E+0000  5.42766309196421E-0001  4.95306954620698E-0001 
 2.16000000000000E+0000  5.39357148724294E-0001  4.92551101866082E-0001 
 2.19000000000000E+0000  5.35974364412179E-0001  4.89812007118377E-0001 
 2.22000000000000E+0000  5.32750180886852E-0001  4.87221844242872E-0001 
 2.25000000000000E+0000  5.29556389789665E-0001  4.84652379140877E-0001 
 2.28000000000000E+0000  5.26383346215580E-0001  4.82093963387836E-0001 
 2.31000000000000E+0000  5.23230469875685E-0001  4.79546032870946E-0001 
 2.34000000000000E+0000  5.20097230757745E-0001  4.77008091173884E-0001 
 2.37000000000000E+0000  5.16983146760698E-0001  4.74479705160253E-0001 
 2.40000000000000E+0000  5.13887781456532E-0001  4.71960500887319E-0001 
 2.43000000000000E+0000  5.10810741973171E-0001  4.69450159823945E-0001 
 2.46000000000000E+0000  5.07751676992213E-0001  4.66948415348781E-0001 
 2.49000000000000E+0000  5.04710274855572E-0001  4.64455049506762E-0001 
 2.52000000000000E+0000  5.01686261775274E-0001  4.61969890003707E-0001 
 2.55000000000000E+0000  4.98679400140869E-0001  4.59492807420451E-0001 
 2.58000000000000E+0000  4.95689486919133E-0001  4.57023712629431E-0001 
 2.61000000000000E+0000  4.92716352140924E-0001  4.54562554397993E-0001 
 2.64000000000000E+0000  4.89759857470293E-0001  4.52109317163931E-0001 
 2.67000000000000E+0000  4.86819894851153E-0001  4.49664018969922E-0001 
 2.70000000000000E+0000  4.83896385227007E-0001  4.47226709544557E-0001 
 2.73000000000000E+0000  4.80989277329481E-0001  4.44797468518652E-0001 
 2.76000000000000E+0000  4.78098546531595E-0001  4.42376403766400E-0001 
 2.79000000000000E+0000  4.75224193761915E-0001  4.39963649861754E-0001 
 2.82000000000000E+0000  4.72366244475949E-0001  4.37559366641172E-0001 
 2.85000000000000E+0000  4.69524747681330E-0001  4.35163737864592E-0001 
 2.88000000000000E+0000  4.66699775013538E-0001  4.32776969967084E-0001 
 2.91000000000000E+0000  4.63891419859085E-0001  4.30399290894286E-0001 
 2.94000000000000E+0000  4.61099796523287E-0001  4.28030949015232E-0001 
 2.97000000000000E+0000  4.58325039439908E-0001  4.25672212106701E-0001 
 3.00000000000000E+0000  4.55567302420116E-0001  4.23323366403682E-0001 
